setup_time=11.425ms, keygen_time=1270.688ms, enc_time=245.700ms, dec_time=8.938ms
setup_time=12.021ms, keygen_time=1257.742ms, enc_time=244.904ms, dec_time=9.733ms
setup_time=11.990ms, keygen_time=1270.130ms, enc_time=245.250ms, dec_time=9.145ms
setup_time=13.400ms, keygen_time=1260.416ms, enc_time=244.798ms, dec_time=8.577ms
setup_time=12.159ms, keygen_time=1266.102ms, enc_time=244.696ms, dec_time=9.209ms
setup_time=11.127ms, keygen_time=1263.551ms, enc_time=245.989ms, dec_time=8.607ms
setup_time=12.726ms, keygen_time=1260.985ms, enc_time=247.309ms, dec_time=9.110ms
setup_time=11.057ms, keygen_time=1263.389ms, enc_time=244.430ms, dec_time=8.329ms
setup_time=11.922ms, keygen_time=1261.580ms, enc_time=246.786ms, dec_time=10.015ms
setup_time=11.591ms, keygen_time=1263.485ms, enc_time=243.656ms, dec_time=8.518ms
setup_time=12.814ms, keygen_time=1261.388ms, enc_time=244.792ms, dec_time=9.564ms
setup_time=11.212ms, keygen_time=1259.431ms, enc_time=246.196ms, dec_time=8.665ms
setup_time=12.278ms, keygen_time=1257.188ms, enc_time=245.634ms, dec_time=9.142ms
setup_time=12.099ms, keygen_time=1260.120ms, enc_time=246.117ms, dec_time=9.348ms
setup_time=11.616ms, keygen_time=1261.722ms, enc_time=245.555ms, dec_time=8.280ms
setup_time=13.056ms, keygen_time=1260.878ms, enc_time=245.852ms, dec_time=9.149ms
setup_time=12.648ms, keygen_time=1257.330ms, enc_time=244.678ms, dec_time=9.129ms
setup_time=11.739ms, keygen_time=1258.725ms, enc_time=244.359ms, dec_time=9.369ms
setup_time=13.202ms, keygen_time=1258.001ms, enc_time=245.742ms, dec_time=8.942ms
setup_time=10.995ms, keygen_time=1262.792ms, enc_time=243.544ms, dec_time=8.637ms
setup_time=12.912ms, keygen_time=1260.596ms, enc_time=244.897ms, dec_time=8.331ms
setup_time=12.006ms, keygen_time=1259.783ms, enc_time=245.815ms, dec_time=8.965ms
setup_time=11.508ms, keygen_time=1260.283ms, enc_time=245.301ms, dec_time=9.088ms
setup_time=13.129ms, keygen_time=1266.087ms, enc_time=254.382ms, dec_time=8.651ms
setup_time=13.511ms, keygen_time=1287.906ms, enc_time=249.646ms, dec_time=9.470ms
setup_time=12.142ms, keygen_time=1261.959ms, enc_time=246.577ms, dec_time=9.321ms
setup_time=11.677ms, keygen_time=1281.887ms, enc_time=241.960ms, dec_time=9.545ms
setup_time=11.834ms, keygen_time=1262.299ms, enc_time=246.104ms, dec_time=8.696ms
setup_time=12.315ms, keygen_time=1264.171ms, enc_time=244.355ms, dec_time=9.422ms
setup_time=12.331ms, keygen_time=1266.943ms, enc_time=242.795ms, dec_time=9.712ms
setup_time=11.845ms, keygen_time=1258.342ms, enc_time=244.007ms, dec_time=9.606ms
